Time,vcu.GNSS.altitude
62874709,0
62884537,0
62894540,0
62904640,0
62914543,0
62924540,0
62934550,0
62944588,0
62954543,0
62964382,0
62974427,0
62984627,0
62994646,0
63004720,0
63014649,0
63024626,0
63034552,0
63044754,0
63054587,0
63064532,0
63074623,0
63084430,0
63094608,0
63104496,0
63114653,0
63124626,0
63134636,0
63144592,0
63154541,0
63164547,0
63174600,0
63184624,0
63194635,0
63204501,0
63214645,0
63224624,0
63234627,0
63244713,0
63254594,0
63264522,0
63274778,0
63284552,0
63294329,0
63304346,0
63314592,0
63324624,0
63334624,0
63344689,0
63354624,0
63364621,0
63374713,0
63384566,0
63394576,0
63404543,0
63414586,0
63424540,0
63434538,0
63444683,0
63454578,0
63464538,0
63474666,0
63484403,0
63494635,0
63504624,0
63514624,0
63524625,0
63534621,0
63544713,0
63554559,0
63564407,0
63574628,0
63584696,0
63594654,0
63604628,0
63614680,0
63624515,0
63634513,0
63644624,0
63654620,0
63664554,0
63674522,0
63684558,0
63694524,0
63704341,0
63714586,0
63724600,0
63734624,0
63744493,0
63754656,0
63764627,0
63774601,0
63784520,0
63794533,0
63804372,0
63814616,0
63824603,0
63834631,0
63844651,0
63854672,0
63864632,0
63874521,0
63884573,0
63894518,0
63934520,0
63944521,0
63954555,0
63964527,0
64074708,0
64084789,0
64104489,0
64114525,0
64124527,0
64134528,0
64144527,0
64154572,0
64164531,0
64174527,0
64184506,0
64194557,0
64204489,0
64214303,0
64224518,0
64234364,0
64244408,0
64254663,0
64264577,0
64274651,0
64284616,0
64354721,0
64364646,0
64374544,0
64384546,0
64394569,0
64404542,0
64414539,0
64424599,0
64434541,0
64444545,0
64454665,0
64464543,0
64474546,0
64484514,0
64494331,0
64504351,0
64514397,0
64554708,0
64564709,0
64574681,0
64604511,0
64614511,0
64623609,0
64633521,0
64643558,0
64653624,0
64663594,0
64673547,0
64683513,0
64693549,0
64703514,0
64713513,0
64723617,0
64733508,0
64743524,0
64753522,0
64763580,0
64773398,0
64783443,0
64793669,0
64803683,0
64813681,0
64823778,0
64833717,0
64843715,0
64853725,0
64863526,0
64873540,0
64883562,0
64893573,0
64903510,0
64913511,0
64923550,0
64933550,0
64943520,0
64953508,0
64963512,0
64973508,0
64983511,0
64993618,0
65003572,0
65013597,0
65023360,0
65033669,0
65043422,0
65053720,0
65063753,0
65073719,0
65083636,0
65093668,0
65103502,0
65113474,0
65123506,0
65133507,0
65143514,0
65153503,0
65163564,0
65173523,0
65183505,0
65193585,0
65203553,0
65213504,0
65223504,0
65233509,0
65243552,0
65253558,0
65263580,0
65273379,0
65283584,0
65293335,0
65303382,0
65313671,0
65323669,0
65333723,0
65343561,0
65373521,0
65383500,0
65393532,0
65403500,0
65413498,0
65423497,0
65433601,0
65453563,0
65463329,0
65473625,0
65483581,0
65493581,0
65503582,0
65513581,0
65523491,0
65533705,0
65543532,0
65553371,0
65563384,0
65573432,0
65583578,0
65593606,0
65603637,0
65613492,0
65624517,0
65634607,0
65644558,0
65654608,0
65664559,0
65674586,0
65684516,0
65694528,0
65734622,0
65744552,0
65784597,0
65794633,0
65804714,0
65814517,0
65824516,0
65834589,0
65844589,0
65854422,0
65864599,0
65874673,0
65884598,0
65894607,0
65904674,0
65914653,0
65924511,0
65934523,0
65944562,0
65954601,0
65964601,0
65974636,0
65984581,0
65994614,0
66004678,0
66014523,0
66024508,0
66034521,0
66044593,0
66054603,0
66064550,0
66074594,0
66084369,0
66094608,0
66104631,0
66114475,0
66124598,0
66134601,0
66144523,0
66154513,0
66164546,0
66174614,0
66184528,0
66194525,0
66254642,0
66264603,0
66274482,0
66284642,0
66294605,0
66304513,0
66314515,0
66324513,0
66334514,0
66344620,0
66354526,0
66364516,0
66374341,0
66384584,0
66394432,0
66404600,0
66414657,0
66424370,0
66434388,0
66444818,0
66454734,0
66464739,0
66474597,0
66484514,0
66494523,0
66504513,0
66514614,0
66524533,0
66534512,0
66544520,0
66554580,0
66564510,0
66574510,0
66584570,0
66594548,0
66604337,0
66614614,0
66624610,0
66634596,0
66644604,0
66684700,0
66694488,0
66704512,0
66714611,0
66724532,0
66734347,0
66744395,0
66754635,0
66764356,0
66774594,0
66784656,0
66794613,0
66804496,0
66814701,0
66824529,0
66834503,0
66844512,0
66854616,0
66864510,0
66874333,0
66884588,0
66894393,0
66904439,0
66914453,0
66924496,0
66934680,0
66944691,0
66974519,0
66984769,0
66994584,0
67004508,0
67014513,0
67024353,0
67034358,0
67044365,0
67054653,0
67064400,0
67074406,0
67084610,0
67094418,0
67104447,0
67114464,0
67124493,0
67134539,0
67144585,0
67154589,0
67164596,0
67174601,0
67184634,0
67194638,0
67204643,0
67214647,0
67224882,0
67234605,0
67244612,0
67274936,0
67284943,0
67294663,0
67304587,0
67314623,0
67324626,0
67334654,0
67344701,0
67354717,0
67364766,0
67374766,0
67384779,0
67395093,0
67404815,0
67414821,0
67424861,0
67434875,0
67444922,0
67454957,0
67464961,0
67474965,0
67525224,0
67535157,0
67545142,0
67555144,0
67565199,0
67575054,0
67585050,0
67595111,0
67604354,0
67614386,0
67625153,0
67634467,0
67644501,0
67654505,0
67674538,0
67685208,0
67694604,0
67704643,0
67714649,0
67734686,0
67744693,0
67754697,0
67764620,0
67775348,0
67785348,0
67794582,0
67815347,0
67835450,0
67844771,0
67854831,0
67875496,0
67894844,0
67905534,0
67914339,0
67954387,0
67964934,0
67974427,0
67984435,0
67994356,0
68004904,0
68014396,0
68024401,0
68034407,0
68044414,0
68054445,0
68074459,0
68084464,0
68094496,0
68104501,0
68114506,0
68124513,0
68134546,0
68144552,0
68154752,0
68164734,0
68174578,0
68184626,0
68194343,0
68205118,0
68215144,0
68234812,0
68275215,0
68284910,0
68294912,0
68305202,0
68314519,0
68324771,0
68335003,0
68344411,0
68374874,0
68384832,0
68404891,0
68414517,0
68424515,0
68434622,0
68444541,0
68454568,0
68464567,0
68474572,0
68484517,0
68494333,0
68544673,0
68554599,0
68564514,0
68584514,0
68594524,0
68604585,0
68614565,0
68624544,0
68684473,0
68694492,0
68704722,0
68714728,0
68724713,0
68734713,0
68744722,0
68804556,0
68814599,0
68824627,0
68834628,0
68844646,0
68854701,0
68864547,0
68874785,0
68884557,0
68894555,0
68904546,0
68914613,0
68924545,0
68934546,0
68944555,0
68954548,0
68964548,0
68974645,0
68984549,0
68994555,0
69004551,0
69014610,0
69024376,0
69034418,0
69044638,0
69054479,0
69064635,0
69074750,0
69084636,0
69094638,0
69104550,0
69114614,0
69124554,0
69134569,0
69144579,0
69154572,0
69164559,0
69174646,0
69184643,0
69194406,0
69204536,0
69214471,0
69224722,0
69234724,0
69244723,0
69254765,0
69264532,0
69274734,0
69284411,0
69294641,0
69304641,0
69314694,0
69324644,0
69334644,0
69344560,0
69354559,0
69364543,0
69374642,0
69384560,0
69394561,0
69404558,0
69414609,0
69424542,0
69434544,0
69444608,0
69454594,0
69464528,0
69474670,0
69484618,0
69494544,0
69504550,0
69514612,0
69524542,0
69534540,0
69544606,0
69554627,0
69564627,0
69574497,0
69584652,0
69594602,0
69604604,0
69614668,0
69624540,0
69634542,0
69644609,0
69654426,0
69664651,0
69674518,0
69684673,0
69694376,0
69704422,0
69714710,0
69724603,0
69734627,0
69744815,0
69754420,0
69764712,0
69774714,0
69784783,0
69794657,0
69804637,0
69814684,0
69824542,0
69834538,0
69844634,0
69854648,0
69864514,0
69874577,0
69884626,0
69894549,0
69904540,0
69914601,0
69924543,0
69934537,0
69944641,0
69954605,0
69964539,0
69974544,0
69984584,0
69994549,0
70004539,0
70014595,0
70024578,0
70034576,0
70044664,0
70084629,0
70094416,0
70104623,0
70124627,0
70134393,0
70154749,0
70164620,0
70174601,0
70184772,0
70194548,0
70204379,0
70214426,0
70234517,0
70244535,0
70254582,0
70264718,0
70274771,0
70284761,0
70294585,0
70304568,0
70314624,0
70324567,0
70334566,0
70344629,0
70354564,0
70364538,0
70374547,0
70384605,0
70394546,0
70404537,0
70414590,0
70424539,0
70434536,0
70444645,0
70454615,0
70464511,0
70474552,0
70484590,0
70494520,0
70504511,0
70514592,0
70524537,0
70534535,0
70544642,0
70554565,0
70564535,0
70574568,0
70584536,0
70594548,0
70604394,0
70614644,0
70624489,0
70634698,0
70644702,0
70654599,0
70674700,0
70684761,0
70694545,0
70714635,0
70724414,0
70734593,0
70744356,0
70754691,0
70764701,0
70774703,0
70784705,0
70794740,0
70804617,0
70814803,0
70824533,0
70834530,0
70844573,0
70864507,0
70874566,0
70884530,0
70894529,0
70914600,0
70924558,0
70934559,0
70954624,0
70964527,0
70974530,0
70984531,0
70994571,0
71004530,0
71014628,0
71034528,0
71044663,0
71054645,0
71064506,0
71074564,0
71084531,0
71094530,0
71104375,0
71114631,0
71124621,0
71134379,0
71154438,0
71164696,0
71174696,0
71184592,0
71194735,0
71204532,0
71214716,0
71224699,0
71234612,0
71244517,0
71254534,0
71264681,0
71274460,0
71284757,0
71294622,0
71304624,0
71314793,0
71324547,0
71334526,0
71354615,0
71364528,0
71374503,0
71384565,0
71394539,0
71414626,0
71424554,0
71434528,0
71444615,0
71454582,0
71464512,0
71474565,0
71484629,0
71494541,0
71504528,0
71514536,0
71524593,0
71534526,0
71544526,0
71554531,0
71574524,0
71584629,0
71594379,0
71604399,0
71614614,0
71634592,0
71644710,0
71654672,0
71674734,0
71684469,0
71694617,0
71704350,0
71714398,0
71724441,0
71734388,0
71754784,0
71764702,0
71774701,0
71784801,0
71794655,0
71804530,0
71814581,0
71824624,0
71834560,0
71844614,0
71854609,0
71864512,0
71874586,0
71884633,0
71894541,0
71904529,0
71914538,0
71924597,0
71934529,0
71944530,0
71954590,0
71964528,0
71974531,0
71984635,0
71994553,0
72004530,0
72014533,0
72024583,0
72034530,0
72044591,0
72054591,0
72064348,0
72074568,0
72084608,0
72094461,0
72104612,0
72114613,0
72124614,0
72134529,0
72144537,0
72154590,0
72164550,0
72174365,0
72184388,0
72194434,0
72204366,0
72214412,0
72224701,0
72234348,0
72244365,0
72254815,0
72264817,0
72274758,0
72284813,0
72294656,0
72304504,0
72314529,0
72324528,0
72334529,0
72344528,0
72354645,0
72364529,0
72374529,0
72384536,0
72394602,0
72404526,0
72414556,0
72424554,0
72434528,0
72444536,0
72454651,0
72464544,0
72474562,0
72484526,0
72494540,0
72504527,0
72514537,0
72524632,0
72534529,0
72544538,0
72554364,0
72564602,0
72574610,0
72584613,0
72594646,0
72604610,0
72614609,0
72623722,0
72633533,0
72643571,0
72653610,0
72663579,0
72673590,0
72683533,0
72693594,0
72703384,0
72713623,0
72723673,0
72733404,0
72743447,0
72753732,0
72763770,0
72773706,0
72783368,0
72793791,0
72803790,0
72813706,0
72823486,0
72833642,0
72843673,0
72853686,0
72863576,0
72873586,0
72883530,0
72893594,0
72903530,0
72913529,0
72923624,0
72933545,0
72943538,0
72953538,0
72963597,0
72973544,0
72983526,0
72993594,0
73003529,0
73013523,0
73023628,0
73033555,0
73043595,0
73053442,0
73063488,0
73073644,0
73083610,0
73093650,0
73103525,0
73113523,0
73123620,0
73133563,0
73143532,0
73153554,0
73163528,0
73173524,0
73183346,0
73193616,0
73203623,0
73213637,0
73223669,0
73233700,0
73243690,0
73253415,0
73273761,0
73283775,0
73293553,0
73313691,0
73323697,0
73333757,0
73353520,0
73363577,0
73373521,0
73383516,0
73393626,0
73413518,0
73423522,0
73443578,0
73473549,0
73483518,0
73493620,0
73503568,0
73513346,0
73523394,0
73533410,0
73543611,0
73563655,0
73583515,0
73593702,0
73603535,0
73613515,0
73633637,0
73643614,0
73653540,0
73663598,0
73673574,0
73683378,0
73693641,0
73703652,0
73713623,0
73723625,0
73733369,0
73743414,0
73753710,0
73763479,0
73773626,0
73783625,0
73793632,0
73803700,0
73823625,0
73843682,0
73873704,0
73883567,0
73913537,0
73923537,0
73933596,0
73943547,0
73953534,0
73963636,0
73973564,0
73983538,0
73993345,0
74003391,0
74013621,0
74023619,0
74033679,0
74053675,0
74063497,0
74073697,0
74093512,0
74113536,0
74123535,0
74133628,0
74143566,0
74153534,0
74173600,0
74183354,0
74193387,0
74213465,0
74223704,0
74233558,0
74253755,0
74263685,0
74273790,0
74293537,0
74303624,0
74313563,0
74323407,0
74333620,0
74363621,0
74373671,0
74383621,0
74393567,0
74413540,0
74423537,0
74433539,0
74453585,0
74463514,0
74473616,0
74493401,0
74503448,0
74513653,0
74533658,0
74543710,0
74553541,0
